asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
4.0,2.0,86.25,52.5,135.75,120.5,543.0,241.0,647.0,229.0,36.06,42.03,49.26,47.9,31870.0,10969.0,3919.0,,1834.0,081,28081,22.0,11.0,63.41,85.09,51.64,63.09,1136.0,694.0,64.81,,83.7,,1.2293627526616262,63.74,72.23,,9.0,5.0,22.67,20.0,56.67,47.0,510.0,235.0,28,249801.0,,132477.0,2498.0,1462.0,73.93,92.44,69.24,76.07,172966.0,111214.0,2000.0
13.0,9.0,64.15,73.67,98.0,114.11,1274.0,1027.0,531.0,219.0,41.95,53.57,57.21,62.0,30378.0,13578.0,5103.0,30.211788721612653,2853.0,081,28081,18.0,10.0,33.72,39.5,41.94,45.9,755.0,459.0,68.29,5.369541737386219,84.12,17.148626428119474,1.440181578562015,78.68,88.09,23.438970818952008,3.0,2.0,44.67,54.5,84.0,96.0,252.0,192.0,28,401508.0,0.6073114198902325,251327.0,3250.0,2366.0,81.09,90.22,88.33,92.41,287069.0,218646.0,2001.0
22.0,12.0,77.32,93.0,104.77,102.08,2305.0,1225.0,518.0,266.0,46.1,52.01,61.36,63.06,31783.0,16773.0,4879.0,-4.389574759945125,2832.0,081,28081,17.0,8.0,62.82,67.75,82.24,102.88,1398.0,823.0,79.78,16.825303851222717,98.48,-3.729567125558686,1.3864690398596138,88.49,97.84,12.468225724453475,2.0,2.0,31.0,31.0,106.0,106.0,212.0,212.0,28,431730.0,0.07527122747242898,277072.0,3252.0,2309.0,79.37,89.5,96.2,102.75,312828.0,237241.0,2002.0
27.0,17.0,111.04,141.94,107.3,111.65,2897.0,1898.0,680.0,313.0,46.14,54.4,70.65,71.87,48043.0,22496.0,5875.0,20.414019266243088,3329.0,081,28081,20.0,7.0,60.7,66.14,94.15,79.71,1883.0,558.0,74.42,-6.7184758084733005,86.78,15.622033126544377,1.6030636925557644,95.44,100.67,7.853994801672504,6.0,3.0,94.5,110.67,95.33,80.0,572.0,240.0,28,560694.0,0.2987144743242305,335146.0,4401.0,2796.0,76.28,83.45,100.1,103.07,440560.0,288177.0,2003.0
39.0,19.0,130.72,200.21,115.15,107.63,4491.0,2045.0,722.0,298.0,62.71,58.5,73.71,73.66,53216.0,21950.0,5079.0,-13.548936170212766,2728.0,081,28081,4.0,2.0,53.5,72.0,80.0,67.5,320.0,135.0,79.96,7.444235420585854,94.8,-7.103997304603671,1.489182091045523,95.26,97.77,-0.18860016764458143,18.0,7.0,66.28,80.57,107.17,151.86,1929.0,1063.0,28,483840.0,-0.13706941754325885,266704.0,3637.0,2249.0,76.6,85.9,100.47,100.89,365415.0,226896.0,2004.0
20.0,16.0,63.2,67.81,110.05,117.69,2201.0,1883.0,856.0,350.0,47.82,51.38,77.87,74.13,66656.0,25944.0,4792.0,-5.650718645402641,2471.0,081,28081,6.0,3.0,121.0,87.33,123.83,126.33,743.0,379.0,70.43,-11.918459229614797,80.01,13.018690352645823,1.6830540962657956,94.83,94.41,-0.4513961788788601,7.0,4.0,38.86,46.25,79.29,87.25,555.0,349.0,28,454445.0,-0.060753554894179884,233288.0,3308.0,1968.0,74.75,81.47,98.76,97.92,326700.0,192705.0,2005.0
31.0,13.0,80.32,101.38,131.48,115.38,4076.0,1500.0,861.0,389.0,47.24,47.9,76.38,71.04,65761.0,27634.0,4815.0,0.4799666110183676,2488.0,081,28081,3.0,3.0,63.0,63.0,72.33,72.33,217.0,217.0,73.98,5.040465710634678,85.11,0.07040101954476352,1.6842389835090565,99.68,99.61,5.114415269429506,12.0,5.0,64.58,94.4,87.42,71.8,1049.0,359.0,28,479941.0,0.056103598895355766,247826.0,3222.0,1927.0,77.36,85.09,105.87,105.58,341109.0,203457.0,2006.0
21.0,11.0,72.14,83.45,154.95,152.55,3254.0,1678.0,673.0,273.0,57.44,59.33,91.16,86.46,61351.0,23604.0,4271.0,-11.298026998961575,2285.0,081,28081,1.0,,23.0,,78.0,,78.0,,91.39,23.53338740200053,110.24,-9.061437787043946,1.531622715833242,111.98,111.79,12.339486356340279,13.0,5.0,121.46,147.2,149.0,156.4,1937.0,782.0,28,478285.0,-0.0034504241146307013,255450.0,3022.0,1870.0,85.34,91.98,116.7,115.65,352674.0,216269.0,2007.0
116.0,72.0,76.17,81.28,148.41,128.83,17216.0,9276.0,1500.0,624.0,59.96,69.21,88.27,77.19,132404.0,48168.0,11760.0,175.3453523764926,6976.0,081,28081,16.0,4.0,88.75,32.0,229.5,92.0,3672.0,368.0,90.34,-1.1489222015537814,105.01,12.274045742457806,1.7196147885764888,124.28,126.5,10.984104304340047,64.0,40.0,122.06,149.7,208.38,245.3,13336.0,9812.0,28,1461520.0,2.055751278003701,882456.0,9180.0,6064.0,96.59,109.76,129.62,131.26,1189940.0,795972.0,2008.0
12.0,11.0,99.5,101.91,193.42,193.91,2321.0,2133.0,221.0,108.0,64.25,78.55,81.45,78.08,18001.0,8433.0,2596.0,-77.92517006802721,1650.0,081,28081,5.0,4.0,136.8,163.5,173.6,192.0,868.0,768.0,93.66,3.67500553464688,103.3,3.0755034971970296,1.772501601537476,132.81,134.59,6.863533955584167,5.0,2.0,134.4,66.0,145.4,144.0,727.0,288.0,28,344771.0,-0.7641010728556571,222071.0,2112.0,1487.0,98.53,105.75,138.9,138.28,293354.0,205624.0,2009.0
